id1,id2,id3,text,f1,f3,f5,f6,f7,f8,label,text_len,words_count,sentence_count,number_percentage,caps_percentage,is_empty,id1_pred,id1_in_database,id2_pred,id2_in_database,text_0,text_1,falls_count
7596126584852021591,173777575861152844,18254136755182295358,"Хотела купить на замену старых,по итогу эти  ужаснотупые ,не удобные ,рвут кутикулу ,а не режут.",1,1.0,13,4.2727272727272725,18,36,0,96,16,2,0.0,0.0625,0,0,0,0,0,0.4412327999466402,0.5587672000533598,2.0
5327406586753254371,14366783259208998381,2324030737335224220,Запах по сравнению с обычным DOVE никакой. Оно не парфюмированное. Только баночки симпатичные и всё,10,2.7,4,4.434782608695652,90,109,1,99,15,3,0.0,0.26666666666666666,0,0,0,0,0,0.48205227866352807,0.5179477213364719,1.0
2636757786779776109,16985421652518589249,4904562693381133981,"Кабель подошёл, хорошо работает.",4,4.0,0,4.5,4,6,0,32,5,2,0.0,0.2,0,0,0,0,0,0.5875346499393287,0.4124653500606713,1.0
15432976385014516263,2629180387521298831,13541353053200353836,"Восторг! Очень приятный аромат, держится долго, очень удобный формат для сумочки.",6,5.0,30,4.7727272727272725,14,15,1,81,11,3,0.0,0.18181818181818182,0,0,0,0,0,0.4951146734684083,0.5048853265315917,0.0
11933982800034911890,14531191561111600318,9121890650636487522,Визуально все хорошо. Не пробовали. Купили в подарок,19,5.0,4,5.0,26,33,0,52,8,3,0.0,0.375,0,0,0,0,0,0.5327510653776146,0.46724893462238537,0.0
12956759645916906296,5879642233655188745,545463266737960507,"Коробка в состоянии,, прошла Афган,,! Гладкая кожа носков сапог тоже уже не выглядит новой. Но сапоги вернула совсем не по этим причинам. Дело в том, что всамой модели сапог странное голенище. Дизайнер просчитался, решил вставить в эскиз замок, хотя стоило обойтись резинкой, дающей возможность вместить любую толщину икры женской ножки. Замок топорщит, держит странную форму, что портит вид сапог.",1,3.0,4,3.5,0,3,0,398,59,7,0.0,0.11864406779661017,0,0,0,0,0,0.5239001433943196,0.4760998566056805,2.0
6841806001863004342,14122795775767509996,12155125135782450682,Джинсы хорошие качество отличное но дороговаты и Малы очень  брал на два размера больше но увы так что возврат,2,3.0,34,4.22543352601156,1,7,0,110,19,1,0.0,0.10526315789473684,0,0,0,0,0,0.49462397492663757,0.5053760250733624,1.0
8117888394773312960,374482498662209919,3608255627357219465,Хорошее качество,5,5.0,1,4.6,8,8,1,16,2,1,0.0,0.5,0,0,0,0,0,0.5576553678098812,0.4423446321901188,0.0
7302617118628219861,10956664061628703401,8223254633971568382,"Камеры не закрывает, камеры в ровень с чехлом",1,1.0,90,4.6571428571428575,2,2,0,45,8,1,0.0,0.125,0,0,0,0,0,0.4748448728147997,0.5251551271852003,1.0
15596113247608080332,16832509424695734198,4791559431206844550,"Юлия не могли бы Вы проверить стеганку которую я вернула нет ли в карманах ключ от машин, я боюсь что в примерочной я по инерции их положила в карман и вернула позвони если есть по этому номеру 287896096",1,5.0,90,4.71513353115727,0,1,0,203,37,1,0.02702702702702703,0.05405405405405406,0,0,0,0,0,0.48892899296031245,0.5110710070396876,2.0
298483443235507048,9161312902389503914,18003133089489520237,"Хорошо упакован, Оригенал 👌🏻спасибо",12,5.0,68,4.354838709677419,15,19,1,35,4,1,0.0,0.5,0,0,0,0,0,0.5684224398909594,0.43157756010904064,1.0
13177061027481511402,6595073485018777246,15123516144979634006,Оыоырыгыоцрцныоцн,2,5.0,178,4.554317548746518,2,6,1,17,1,1,0.0,1.0,0,0,0,0,0,0.4652999406316731,0.5347000593683269,1.0
3838804872705625543,7449919663125419361,147494687329013625,"Отличный рюкзак. Действительно, пахнет новым, приятный запах. Молнии хорошо застегиваются. Качество хорошее. Посмотрим, как в использовании себя проявит. Пришел товар быстро.",1,5.0,15,4.916666666666667,3,4,0,174,21,7,0.0,0.2857142857142857,0,0,0,0,0,0.5064345764989551,0.4935654235010449,1.0
15052151066971174799,472409409448966793,5470748928248412803,"Доставка-скорость света! Отличная ёмкость, кажется большеватой. НО! под любой стик мыла и пена остаётся внутри и не нужно собирать снаружи. Крышка садится не туго и не болтается. Транспортная упаковка надёжная. Всё без повреждений.",35,4.571428571428571,1,4.833333333333333,44,50,1,231,36,8,0.0,0.16666666666666666,0,0,0,0,0,0.4362130065184795,0.5637869934815205,4.0
134264158100807590,3989240797250780219,3033520687525129327,"Возврат! Во-первых, задал вопрос продавцу, обратной связи ноль! Во-вторых, кошелек далеко не маленький и не тонкий. Его толщина явно не 1 см.  2 см + и это он еще пустой. В-третьих - самое главное, карты не влазиет в отделения, мм 4-5 не хватает. В целом по качеству кошелек неплохой, но отделения под карты расстроили((",3,4.0,1,3.1666666666666665,2,4,0,320,52,7,0.07692307692307693,0.11538461538461539,0,0,0,0,0,0.41749396325859456,0.5825060367414054,0.0
1408533073719041540,5872522275235264187,15784563364140581349,Цена качество соответствует,5,4.6,13,4.7844827586206895,21,49,0,27,3,1,0.0,0.3333333333333333,0,0,0,0,0,0.4887039517837224,0.5112960482162776,0.0
13877378895135646598,17626731790037521069,8818535877144269085,"Куртка просто ужас💩заказала три разных цветов, и все одинаковые: кривые какие-то, наполнитель распределен неравномерно, у одной вообще кнопки не было. Пришлось ещё и за возврат платить(",1,2.0,13,4.119047619047619,10,16,0,185,28,2,0.0,0.07142857142857142,0,0,0,0,0,0.4707564186067522,0.5292435813932478,1.0
7239787349776375241,13399392134249501112,5161166887350614275,Товар пришёл с браком! Матрица не исправна!,1,1.0,7,3.8372093023255816,7,12,0,43,8,3,0.0,0.25,0,0,0,0,0,0.4579257229696829,0.5420742770303171,0.0
15111699631263638189,1616883042292906064,8463984859306483856,"Очень была расстроенна таким отвратительно упакованным товаром. Ужасная упаковка вся разорвала, где-то скотчем склеена. Хочется спросить у продовца, вы вообще смотрите что вы за товар  отправляете?Вообщем к покупке не советую.",2,3.0,34,2.986842105263158,37,145,0,226,32,5,0.0,0.125,0,0,0,0,0,0.47899170380508993,0.5210082961949101,2.0
654839140998354741,2226760854896715617,11450005485867524516,"Здравствуйте! Товар получила, покупала подарок детям, нам очень понравилась. Соответствует как в картинки рисунки все аккуратно ни какого брака нет, фиксаторы даже запасом есть все отлично👍👍👍👍 спасибо большое за быструю сборку продавцу💐💐💐. И спасибо производителю💋💋💋",23,5.0,148,4.494432071269488,37,67,1,266,35,4,0.0,0.11428571428571428,0,0,0,0,0,0.5341848652298669,0.46581513477013314,0.0
16665675694745683209,13339653253629053784,8597950064774351136,"Большемерит очень сильно, но свитшот классный",4,1.75,1,4.8,17,37,0,45,6,1,0.0,0.16666666666666666,0,0,0,0,0,0.610435527467548,0.38956447253245197,2.0
4671248781842279855,8627666463190878695,13860844257884860474,"Красивые, мягкие и удобные тряпочки",36,4.527777777777778,5,5.0,55,99,0,35,5,1,0.0,0.2,0,0,0,0,0,0.5592427211247133,0.44075727887528676,0.0
15977033621672153714,14586067526081429195,8355302290057178824,Пришли за два дня,6,5.0,2,5.0,27,74,0,17,4,1,0.0,0.25,0,0,0,0,0,0.5039372986034532,0.4960627013965468,0.0
14932418852539196783,11594206611029735520,5576082564072164535,︎ ︎ ︎ ︎ ︎ ︎,8,5.0,27,4.520833333333333,12,13,1,11,0,0,0.0,0.0,1,0,0,0,0,0.5070486880324588,0.49295131196754116,0.0
8942589570771274688,16065831684866237607,16738165381834614119,В одном комплекте 3ситочки за всё 147платили,3,4.666666666666667,10,4.722222222222222,5,7,0,44,7,1,0.2857142857142857,0.14285714285714285,0,0,0,0,0,0.5158379350674638,0.4841620649325363,1.0
17945650534131726010,16724589281329805927,5312918826739540323,"Смывает плохо, щиплет глаза",9,4.222222222222222,35,4.384816753926701,34,42,0,27,4,1,0.0,0.25,0,0,0,0,0,0.5102111139137766,0.4897888860862234,0.0
7274621338731644697,3340034334621716454,13541353053200353836,"Давно мечтала  купить духи Может быть, и осуществила свою мечту.  Спасибо огромное!!!",10,5.0,23,3.570731707317073,22,41,0,85,12,3,0.0,0.25,0,0,0,0,0,0.4723627838286538,0.5276372161713462,0.0
17671662215758517480,15109957274592244514,5646336594759990081,"Удобная и качественная юбка. На рост 168, ОТ 68, ОБ 98 подошла идеально.",2,5.0,601,4.832707551105549,6,7,1,72,10,3,0.3,0.4,0,0,0,0,0,0.4474129437408846,0.5525870562591154,0.0
14519382886193521633,14168920912213365568,7502088169769291132,Отличные лоферы за такую цену,20,4.6,0,4.571428571428571,46,66,0,29,5,1,0.0,0.2,0,0,0,0,0,0.5420505253996392,0.45794947460036084,1.0
9927515246960419915,18441960107024938048,13859002297641788320,"Валенки прикольные, интересные. Но пришлось вернуть, т.к. на мой 40-ой размер 41-ый оказался мал, тесновато было ноге.",8,4.5,46,4.801020408163265,36,134,0,118,18,5,0.1111111111111111,0.1111111111111111,0,0,0,0,0,0.465341447901679,0.534658552098321,0.0
10673191825873358004,13019040374299001,9216117431501580578,"пришла книга быстро,хорошо запакована",3,5.0,87,4.83080808080808,12,13,0,37,5,1,0.0,0.0,0,0,0,0,0,0.5759052962091059,0.4240947037908941,0.0
7719590763533910000,15247858540250449162,9486012649228196529,"Кофточка очень даже любо, но увы я со своим ростом 160 в ней просто утонула(((  почти до колен, а хотелось бы слегка прикрывающую попу.",2,5.0,42,4.726415094339623,2,12,0,135,23,2,0.043478260869565216,0.043478260869565216,0,0,0,0,0,0.4922213275760988,0.5077786724239012,0.0
6835816905320373791,7691925409402919851,15231575427297017388,"Пришла ручка на 4гб, отказ",1,1.0,2,2.6666666666666665,8,155,1,26,5,1,0.2,0.2,0,0,0,0,0,0.49939672440617666,0.5006032755938233,0.0
18044193978845267641,5011543773252845561,12494923917986614809,"Шпарит как на газу, очень мощная. Ставлю вышку!",1,5.0,6,4.628571428571429,1,1,0,47,8,3,0.0,0.25,0,0,0,0,0,0.5183075287199588,0.4816924712800412,0.0
9712720796090272382,16551728314534170723,3349521823523090683,"Заказала контейнер с подогревом от сети и от автомобиля, пришел контейнер только с зарядкой от автомобиля, на фото было с зарядкой от сети и от автомобиля и было написано, что и от сети тоже, обманом занимаетесь ещё при возврате сняли деньги 100 рублей, ещё запрашиваете оценку, только минус могу вам поставить",1,1.0,0,1.8571428571428568,1,2,0,310,50,1,0.02,0.02,0,0,0,0,0,0.478701265544223,0.521298734455777,0.0
11412653650919637862,7917252194019529884,4383783788274755465,Не заказывал товар но мне хотели его впарить,4,2.75,203,4.7972602739726025,8,25,0,44,8,1,0.0,0.125,0,0,0,0,0,0.4923712306024759,0.5076287693975241,0.0
9458139270987624319,15872294383265042178,9276397251840000441,"Брюки очень классные!,но сама заказала не тот размер ,перезакажу.",2,5.0,35,4.453488372093023,2,9,0,65,10,3,0.0,0.1,0,0,0,0,0,0.4534839059140481,0.5465160940859519,1.0
8547693878223225333,2191062068342455122,10651534060335482528,"Второй раз худею с помощью Селтомикс, результаты хорошие. Удобен в использовании, нравится что таблица есть, притупляет чувство голода.",2,5.0,930,4.320078226857888,0,2,1,135,18,3,0.0,0.16666666666666666,0,0,0,0.8571428571428571,1,0.4512972270604747,0.5487027729395253,1.0
